[2020-07-29 10:01:36,123]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896046, data=[0, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,173]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896173, data=[0, 2.0], isExpired=false}
[2020-07-29 10:01:36,209]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896204, data=[1, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,226]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896226, data=[1, 2.0], isExpired=false}
[2020-07-29 10:01:36,236]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896235, data=[2, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,257]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896257, data=[2, 2.0], isExpired=false}
[2020-07-29 10:01:36,261]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896251, data=[3, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,272]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896272, data=[3, 2.0], isExpired=false}
[2020-07-29 10:01:36,273]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896271, data=[4, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,300]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896300, data=[4, 2.0], isExpired=false}
[2020-07-29 10:01:36,312]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896299, data=[5, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,338]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896338, data=[5, 2.0], isExpired=false}
[2020-07-29 10:01:36,345]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : FeedbackInputStream : Event{timestamp=1596016896339, data=[6, 2.0, 2.0, 2.0, 2.0], isExpired=false}
[2020-07-29 10:01:36,360]  INFO {io.siddhi.core.stream.output.sink.LogSink} - RestRequest : LoanResponseStream : Event{timestamp=1596016896360, data=[6, 2.0], isExpired=false}
